,CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,MaritalStatus,AgeGroup,Gender,HourSpendOnApp,OrderCount,OrderAmountHikeFromlastYear,DaySinceLastOrder,NumberOfStreamerFollowed,SatisfactionScore,Complain,CouponUsed,DiscountAmount,PreferedOrderCat
0,50001.0,1.0,4.0,0.0,3.0,6.0,0.0,3.0,0.0,3.0,1.0,11.0,5.0,9.0,2.0,1.0,1.0,160.0,0
1,50002.0,1.0,4.0,1.0,1.0,8.0,0.0,4.0,1.0,3.0,1.0,15.0,0.0,7.0,3.0,1.0,0.0,121.0,1
2,50003.0,1.0,4.0,1.0,1.0,30.0,0.0,4.0,1.0,2.0,1.0,14.0,3.0,6.0,3.0,1.0,0.0,120.0,1
3,50004.0,1.0,3.0,1.0,3.0,15.0,0.0,4.0,1.0,2.0,1.0,23.0,3.0,8.0,5.0,0.0,0.0,134.0,0
4,50005.0,1.0,3.0,1.0,1.0,12.0,0.0,3.0,1.0,2.0,1.0,11.0,3.0,3.0,5.0,0.0,1.0,130.0,1
5,50006.0,1.0,3.0,2.0,1.0,22.0,0.0,5.0,0.0,3.0,6.0,22.0,7.0,2.0,5.0,1.0,4.0,139.0,2
6,50007.0,1.0,8.0,1.0,3.0,11.0,1.0,3.0,1.0,2.0,1.0,14.0,0.0,4.0,2.0,0.0,0.0,121.0,0
7,50008.0,1.0,4.0,1.0,1.0,6.0,1.0,3.0,1.0,3.0,2.0,16.0,0.0,3.0,2.0,1.0,2.0,123.0,1
8,50009.0,1.0,13.0,1.0,3.0,9.0,1.0,4.0,1.0,2.0,1.0,14.0,2.0,2.0,3.0,1.0,0.0,127.0,1
9,50010.0,1.0,4.0,1.0,1.0,31.0,0.0,5.0,1.0,2.0,1.0,12.0,1.0,2.0,3.0,0.0,1.0,123.0,1
10,50011.0,1.0,4.0,0.0,1.0,18.0,1.0,3.0,0.0,2.0,15.0,14.0,8.0,2.0,3.0,0.0,9.0,295.0,3
11,50012.0,1.0,11.0,0.0,1.0,6.0,0.0,4.0,1.0,3.0,1.0,13.0,0.0,10.0,3.0,1.0,0.0,154.0,4
12,50013.0,1.0,3.0,1.0,1.0,11.0,0.0,3.0,1.0,2.0,2.0,13.0,2.0,2.0,3.0,1.0,2.0,134.0,1
13,50014.0,1.0,3.0,1.0,1.0,15.0,1.0,4.0,1.0,3.0,1.0,17.0,0.0,1.0,3.0,1.0,0.0,134.0,1
14,50015.0,1.0,9.0,0.0,3.0,15.0,0.0,4.0,1.0,3.0,4.0,16.0,7.0,2.0,2.0,0.0,0.0,196.0,4
15,50016.0,1.0,4.0,1.0,2.0,12.0,2.0,3.0,1.0,3.0,1.0,22.0,2.0,5.0,5.0,1.0,1.0,121.0,1
16,50017.0,1.0,3.0,2.0,1.0,12.0,0.0,4.0,0.0,2.0,1.0,18.0,0.0,2.0,2.0,1.0,1.0,129.0,1
17,50018.0,1.0,3.0,0.0,3.0,11.0,0.0,4.0,1.0,2.0,1.0,11.0,3.0,2.0,3.0,1.0,1.0,157.0,0
18,50019.0,1.0,3.0,2.0,1.0,13.0,0.0,5.0,1.0,3.0,1.0,24.0,6.0,2.0,3.0,1.0,1.0,161.0,0
19,50020.0,1.0,19.0,0.0,1.0,20.0,1.0,3.0,0.0,3.0,4.0,18.0,3.0,10.0,4.0,1.0,1.0,150.0,2
20,50021.0,1.0,3.0,0.0,3.0,12.0,1.0,5.0,1.0,3.0,7.0,18.0,7.0,5.0,3.0,1.0,6.0,162.0,0
21,50022.0,1.0,23.0,0.0,1.0,29.0,1.0,3.0,0.0,3.0,15.0,12.0,6.0,2.0,2.0,0.0,11.0,203.0,4
22,50023.0,1.0,3.0,0.0,3.0,28.0,0.0,3.0,1.0,2.0,1.0,19.0,0.0,2.0,3.0,1.0,0.0,117.0,2
23,50024.0,1.0,3.0,1.0,3.0,26.0,1.0,5.0,0.0,3.0,2.0,11.0,2.0,4.0,3.0,1.0,1.0,146.0,0
24,50025.0,1.0,14.0,2.0,1.0,14.0,0.0,5.0,1.0,2.0,1.0,15.0,3.0,3.0,2.0,0.0,0.0,207.0,4
25,50026.0,1.0,3.0,1.0,1.0,15.0,0.0,3.0,0.0,2.0,1.0,22.0,4.0,8.0,5.0,0.0,1.0,142.0,2
26,50027.0,0.0,8.0,0.0,3.0,6.0,1.0,3.0,1.0,3.0,1.0,13.0,6.0,2.0,4.0,0.0,1.0,173.0,4
27,50028.0,0.0,8.0,1.0,3.0,12.0,1.0,3.0,1.0,2.0,4.0,20.0,5.0,3.0,3.0,1.0,0.0,123.0,0
28,50029.0,0.0,18.0,1.0,1.0,14.0,2.0,3.0,1.0,2.0,1.0,18.0,15.0,9.0,4.0,0.0,1.0,123.0,0
29,50030.0,0.0,5.0,2.0,3.0,14.0,0.0,3.0,0.0,2.0,3.0,14.0,7.0,2.0,2.0,0.0,2.0,190.0,4
30,50031.0,0.0,2.0,2.0,1.0,6.0,1.0,3.0,1.0,2.0,1.0,13.0,9.0,2.0,3.0,0.0,0.0,143.0,0
31,50032.0,0.0,3.0,0.0,1.0,13.0,1.0,4.0,1.0,2.0,1.0,17.0,0.0,3.0,3.0,0.0,1.0,161.0,0
32,50033.0,0.0,33.0,1.0,1.0,15.0,1.0,4.0,0.0,3.0,1.0,20.0,0.0,5.0,4.0,1.0,1.0,133.0,1
33,50034.0,0.0,13.0,0.0,3.0,10.0,1.0,4.0,1.0,3.0,2.0,11.0,11.0,8.0,2.0,0.0,2.0,209.0,4
34,50035.0,0.0,4.0,2.0,3.0,8.0,1.0,3.0,0.0,3.0,1.0,18.0,2.0,7.0,3.0,0.0,1.0,122.0,1
35,50036.0,0.0,3.0,1.0,1.0,12.0,1.0,3.0,1.0,3.0,2.0,24.0,2.0,2.0,2.0,0.0,0.0,123.0,1
36,50037.0,0.0,4.0,2.0,1.0,15.0,2.0,3.0,1.0,2.0,2.0,18.0,2.0,7.0,4.0,0.0,0.0,120.0,1
37,50038.0,0.0,1.0,1.0,1.0,27.0,1.0,3.0,1.0,2.0,1.0,11.0,2.0,2.0,2.0,0.0,0.0,127.0,1
38,50039.0,0.0,33.0,0.0,1.0,30.0,2.0,2.0,1.0,2.0,1.0,16.0,4.0,4.0,2.0,1.0,1.0,194.0,4
39,50040.0,0.0,3.0,2.0,1.0,12.0,2.0,4.0,1.0,3.0,1.0,15.0,1.0,2.0,3.0,1.0,0.0,126.0,1
40,50041.0,0.0,23.0,0.0,1.0,17.0,0.0,3.0,0.0,2.0,4.0,14.0,4.0,4.0,4.0,0.0,2.0,299.0,3
41,50042.0,0.0,14.0,1.0,1.0,12.0,2.0,3.0,1.0,2.0,1.0,12.0,8.0,5.0,3.0,0.0,1.0,125.0,1
42,50043.0,0.0,3.0,0.0,3.0,11.0,1.0,3.0,0.0,2.0,7.0,12.0,4.0,3.0,2.0,0.0,2.0,194.0,4
43,50044.0,0.0,11.0,0.0,3.0,6.0,0.0,4.0,0.0,2.0,1.0,22.0,1.0,5.0,2.0,0.0,1.0,187.0,0
44,50045.0,0.0,5.0,1.0,1.0,12.0,0.0,3.0,1.0,2.0,1.0,20.0,4.0,4.0,3.0,0.0,0.0,130.0,1
45,50046.0,0.0,3.0,1.0,1.0,23.0,1.0,3.0,1.0,2.0,1.0,16.0,1.0,1.0,4.0,1.0,1.0,131.0,1
46,50047.0,1.0,3.0,2.0,3.0,12.0,0.0,5.0,0.0,3.0,1.0,21.0,0.0,1.0,5.0,0.0,1.0,123.0,1
47,50048.0,0.0,4.0,2.0,1.0,9.0,0.0,3.0,1.0,1.0,7.0,12.0,2.0,5.0,4.0,0.0,4.0,121.0,1
48,50049.0,0.0,3.0,2.0,1.0,15.0,2.0,3.0,1.0,3.0,6.0,11.0,10.0,2.0,5.0,0.0,0.0,131.0,0
49,50050.0,0.0,18.0,0.0,3.0,10.0,2.0,3.0,0.0,1.0,1.0,11.0,3.0,5.0,5.0,1.0,0.0,150.0,0
50,50051.0,0.0,29.0,1.0,1.0,14.0,2.0,3.0,0.0,3.0,2.0,18.0,2.0,5.0,5.0,1.0,1.0,143.0,2
51,50052.0,0.0,6.0,1.0,1.0,12.0,0.0,3.0,1.0,2.0,1.0,14.0,2.0,1.0,2.0,0.0,0.0,125.0,1
52,50053.0,1.0,3.0,0.0,1.0,8.0,0.0,4.0,1.0,2.0,1.0,22.0,0.0,2.0,2.0,0.0,0.0,111.0,2
53,50054.0,0.0,19.0,0.0,3.0,6.0,2.0,3.0,0.0,3.0,15.0,25.0,7.0,2.0,5.0,0.0,4.0,205.0,4
54,50055.0,0.0,4.0,1.0,1.0,15.0,0.0,3.0,0.0,3.0,2.0,12.0,1.0,2.0,2.0,0.0,1.0,123.0,1
55,50056.0,0.0,4.0,1.0,1.0,18.0,1.0,3.0,0.0,3.0,1.0,23.0,2.0,9.0,2.0,1.0,1.0,139.0,2
56,50057.0,0.0,4.0,1.0,1.0,33.0,0.0,3.0,0.0,3.0,1.0,15.0,2.0,3.0,4.0,0.0,1.0,123.0,1
57,50058.0,1.0,4.0,1.0,3.0,26.0,0.0,3.0,0.0,2.0,1.0,22.0,2.0,2.0,4.0,1.0,0.0,131.0,1
58,50059.0,0.0,23.0,1.0,1.0,6.0,1.0,4.0,1.0,2.0,1.0,15.0,2.0,3.0,3.0,0.0,0.0,137.0,2
59,50060.0,0.0,26.0,1.0,1.0,19.0,2.0,2.0,0.0,2.0,1.0,11.0,3.0,2.0,5.0,0.0,1.0,145.0,0
60,50061.0,0.0,6.0,1.0,1.0,20.0,1.0,3.0,0.0,2.0,1.0,13.0,6.0,2.0,4.0,0.0,0.0,128.0,1
61,50062.0,0.0,13.0,0.0,1.0,10.0,1.0,3.0,0.0,2.0,9.0,14.0,9.0,2.0,3.0,0.0,2.0,290.0,3
62,50063.0,0.0,28.0,0.0,1.0,20.0,0.0,2.0,1.0,3.0,2.0,11.0,15.0,9.0,4.0,0.0,2.0,287.0,3
63,50064.0,0.0,7.0,2.0,1.0,8.0,1.0,4.0,1.0,2.0,1.0,17.0,9.0,2.0,3.0,0.0,0.0,195.0,0
64,50065.0,0.0,24.0,0.0,1.0,9.0,0.0,3.0,0.0,3.0,4.0,18.0,0.0,4.0,4.0,0.0,0.0,237.0,5
65,50066.0,0.0,25.0,0.0,1.0,6.0,1.0,4.0,1.0,3.0,11.0,14.0,9.0,1.0,3.0,0.0,1.0,300.0,3
66,50067.0,0.0,4.0,1.0,1.0,15.0,0.0,3.0,0.0,2.0,1.0,16.0,3.0,2.0,4.0,0.0,1.0,123.0,1
67,50068.0,1.0,3.0,0.0,1.0,29.0,1.0,4.0,1.0,2.0,1.0,13.0,1.0,4.0,3.0,1.0,1.0,159.0,0
68,50069.0,0.0,4.0,2.0,1.0,13.0,2.0,2.0,1.0,2.0,2.0,14.0,2.0,5.0,2.0,0.0,0.0,121.0,1
69,50070.0,0.0,18.0,2.0,1.0,8.0,1.0,4.0,1.0,3.0,11.0,23.0,8.0,10.0,2.0,0.0,2.0,268.0,5
70,50071.0,0.0,13.0,1.0,1.0,27.0,1.0,2.0,1.0,3.0,1.0,12.0,7.0,2.0,5.0,1.0,0.0,136.0,2
71,50072.0,0.0,8.0,2.0,1.0,8.0,0.0,3.0,0.0,2.0,1.0,11.0,2.0,6.0,4.0,0.0,1.0,144.0,0
72,50073.0,0.0,15.0,2.0,1.0,27.0,2.0,3.0,0.0,2.0,1.0,16.0,2.0,3.0,3.0,0.0,0.0,153.0,0
